prob,gene
216834_at,RGS1
1555504_at,TYR
213764_s_at,MFAP5
213975_s_at,LYZ
1559584_a_at,C16orf54
228692_at,PREX2
205421_at,SLC22A3
218541_s_at,C8orf4
243110_x_at,NPW
209686_at,S100B
204273_at,EDNRB
1556300_s_at,SIM1
214475_x_at,CAPN3
1553830_s_at,MAGEA2_///_MAGEA2B
206172_at,IL13RA2
227006_at,PPP1R14A
235400_at,FCRLA
206201_s_at,MEOX2
229271_x_at,COL11A1
244567_at,---
201744_s_at,LUM
236179_at,CDH11
235127_at,PMP2
1552487_a_at,BNC1
206710_s_at,EPB41L3
228375_at,IGSF11
241390_at,---
205029_s_at,FABP7
214774_x_at,TOX3
212681_at,EPB41L3
201650_at,KRT19
224590_at,XIST
231898_x_at,SOX2-OT
205269_at,LCP2
221933_at,NLGN4X
1567912_s_at,CT45A1_///_CT45A2_///_CT45A3_///_CT45A4_///_CT45A5_///_CT45A6_///_LOC101060208_///_LOC101060210_///_LOC101060211
206018_at,FOXG1
216623_x_at,TOX3
209904_at,TNNC1
232361_s_at,EHF
202291_s_at,MGP
224588_at,XIST
218804_at,ANO1
1557921_s_at,LOC100506498
229273_at,SALL1
218870_at,ARHGAP15
206427_s_at,MLANA
206376_at,SLC6A15
202404_s_at,COL1A2
205337_at,DCT
209173_at,AGR2
1555778_a_at,POSTN
209602_s_at,GATA3
206638_at,HTR2B
1570469_at,OTTHUMG00000020433_///_RP11-308N19.1
204818_at,HSD17B2
206070_s_at,EPHA3
37892_at,COL11A1
205476_at,CCL20
226311_at,ADAMTS2
206701_x_at,EDNRB
237070_at,TRPM1
220393_at,LGSN
237069_s_at,TRPM1
212915_at,PDZRN3
203716_s_at,DPP4
220445_s_at,CSAG2_///_CSAG3
232010_at,FSTL5
240717_at,ABCB5
212998_x_at,HLA-DQB1_///_LOC101060835
204802_at,RRAD
241902_at,MKX
215101_s_at,CXCL5
209395_at,CHI3L1
218002_s_at,CXCL14
215108_x_at,TOX3
1552766_at,HS6ST2
206884_s_at,SCEL
206392_s_at,RARRES1
202746_at,ITM2A
202007_at,NID1
1558216_at,AFAP1-AS1
219837_s_at,CYTL1
204220_at,GMFG
216598_s_at,CCL2
230272_at,LINC00461_///_MIR9-2
206373_at,ZIC1
242943_at,ST8SIA4
215047_at,TRIM58
220084_at,C14orf105
204338_s_at,RGS4
1555229_a_at,C1S
203571_s_at,ADIRF
211161_s_at,COL3A1
1553132_a_at,TC2N
236489_at,GPR110
209905_at,HOXA10-HOXA9_///_HOXA9_///_MIR196B
209278_s_at,TFPI2
210982_s_at,HLA-DRA
204726_at,CDH13
205627_at,CDA
211478_s_at,DPP4
219895_at,TMEM255A
206696_at,GPR143
206153_at,CYP4F11
235976_at,SLITRK6
214974_x_at,CXCL5
218186_at,RAB25
1559965_at,ZFHX4-AS1
211890_x_at,CAPN3
227140_at,INHBA
201438_at,COL6A3
209683_at,FAM49A
1554301_at,LHFPL3-AS1
213994_s_at,SPON1
207177_at,PTGFR
209687_at,CXCL12
211674_x_at,CTAG1A_///_CTAG1B
1554485_s_at,TMEM37
243167_at,ABCB5
226884_at,LRRN1
206426_at,MLANA
242206_at,---
209937_at,TM4SF4
210511_s_at,INHBA
212224_at,ALDH1A1
221805_at,NEFL
206363_at,MAF
210546_x_at,CTAG1A_///_CTAG1B
209942_x_at,MAGEA3
223484_at,C15orf48
230061_at,TM4SF18
1558034_s_at,CP
205440_s_at,NPY1R
225645_at,EHF
232165_at,EPPK1
203256_at,CDH3
226913_s_at,SOX8
203639_s_at,FGFR2
229777_at,CLRN3
222484_s_at,CXCL14
1554018_at,GPNMB
235401_s_at,FCRLA
220057_at,XAGE1A_///_XAGE1B_///_XAGE1C_///_XAGE1D_///_XAGE1E
232204_at,EBF1
235944_at,HMCN1
236773_at,---
213456_at,SOSTDC1
214078_at,---
209792_s_at,KLK10
214612_x_at,MAGEA6
238695_s_at,RAB39B
230869_at,FAM155A
203434_s_at,MME
223786_at,CHST6
215076_s_at,COL3A1
216905_s_at,ST14
227346_at,IKZF1
207739_s_at,GAGE1_///_GAGE12C_///_GAGE12D_///_GAGE12E_///_GAGE12F_///_GAGE12G_///_GAGE12H_///_GAGE12I_///_GAGE12J_///_GAGE2A_///_GAGE2B_///_GAGE2C_///_GAGE2D_///_GAGE2E_///_GAGE3_///_GAGE4_///_GAGE5_///_GAGE6_///_GAGE7_///_GAGE8
201858_s_at,SRGN
205523_at,HAPLN1
1552496_a_at,COBL
230075_at,RAB39B
204236_at,FLI1
215028_at,SEMA6A
221872_at,RARRES1
209656_s_at,TMEM47
244780_at,SGPP2
203953_s_at,CLDN3
205625_s_at,CALB1
204855_at,SERPINB5
219619_at,DIRAS2
205591_at,OLFM1
231941_s_at,MUC20
202286_s_at,TACSTD2
220330_s_at,SAMSN1
40284_at,FOXA2
228462_at,IRX2
230323_s_at,TMEM45B
203798_s_at,VSNL1
226677_at,ZNF521
229327_s_at,---
228507_at,PDE3A
1554333_at,DNAJA4
205221_at,HGD
226237_at,COL8A1
237435_at,---
1555505_a_at,TYR
1563209_a_at,MACROD2
229357_at,ADAMTS5
204591_at,CHL1
235700_at,CT45A1_///_CT45A2_///_CT45A3_///_CT45A4_///_CT45A5_///_CT45A6_///_LOC101060208_///_LOC101060210_///_LOC101060211
225911_at,NPNT
212977_at,CXCR7
201058_s_at,MYL9
218963_s_at,KRT23
1555383_a_at,POF1B
219937_at,TRHDE
207655_s_at,BLNK
1555564_a_at,CFI
229580_at,OTTHUMG00000175814_///_RP11-13L2.4
213880_at,LGR5
231786_at,HOXA13
215646_s_at,VCAN
203824_at,TSPAN8
230030_at,HS6ST2
208083_s_at,ITGB6
211959_at,IGFBP5
211571_s_at,VCAN
217388_s_at,KYNU
203828_s_at,IL32
220468_at,ARL14
209396_s_at,CHI3L1
213537_at,HLA-DPA1
224400_s_at,CHST9
217339_x_at,CTAG1A_///_CTAG1B
231721_at,JAM3
219584_at,PLA1A
201852_x_at,COL3A1
204457_s_at,GAS1
204351_at,S100P
234970_at,TC2N
229459_at,FAM19A5
221029_s_at,WNT5B
223861_at,HORMAD1
206640_x_at,GAGE12B_///_GAGE12C_///_GAGE12D_///_GAGE12E_///_GAGE12F_///_GAGE12G_///_GAGE12H_///_GAGE12I_///_GAGE2A_///_GAGE2B_///_GAGE2C_///_GAGE4_///_GAGE5_///_GAGE6_///_GAGE7
1560562_a_at,ZNF677
210809_s_at,POSTN
204557_s_at,DZIP1
207957_s_at,PRKCB
204736_s_at,CSPG4
209655_s_at,TMEM47
209167_at,GPM6B
203757_s_at,CEACAM6
1555854_at,AKR1C1_///_AKR1C2_///_LOC101060798
228821_at,ST6GAL2
209277_at,TFPI2
207173_x_at,CDH11
219850_s_at,EHF
202196_s_at,DKK3
212909_at,LYPD1
204409_s_at,EIF1AY
203477_at,COL15A1
209170_s_at,GPM6B
201163_s_at,IGFBP7
236539_at,PTPN22
207781_s_at,ZNF711
225792_at,HOOK1
227623_at,CACNA2D1
214603_at,MAGEA2_///_MAGEA2B
209480_at,HLA-DQB1
204933_s_at,TNFRSF11B
213160_at,DOCK2
206785_s_at,KLRC1_///_KLRC2
226847_at,FST
205824_at,HSPB2
204844_at,ENPEP
205980_s_at,ARHGAP8_///_PRR5-ARHGAP8
223975_at,TRIM51
1405_at,CCL5
203453_at,SCNN1A
235359_at,LRRC33
222922_at,KCNE3
213652_at,PCSK5
229352_at,SPESP1
206155_at,ABCC2
230741_at,OTTHUMG00000172919_///_RP11-340F14.5
202156_s_at,CELF2
204320_at,COL11A1
214803_at,CDH6
220004_at,DDX43
231007_at,---
204439_at,IFI44L
244802_at,---
231120_x_at,PKIB
207016_s_at,ALDH1A2
206893_at,SALL1
203404_at,ARMCX2
213317_at,CLIC5
231766_s_at,COL12A1
228438_at,LOC100132891
200951_s_at,CCND2
203435_s_at,MME
227690_at,GABRB3
205681_at,BCL2A1
239468_at,MKX
205000_at,DDX3Y
244829_at,LINC00518
1552623_at,HSH2D
214702_at,FN1
225381_at,MIR100HG
205081_at,CRIP1
228335_at,CLDN11
237086_at,FOXA1
205765_at,CYP3A5
228083_at,CACNA2D4
217757_at,A2M
209498_at,CEACAM1
205767_at,EREG
201909_at,RPS4Y1
226676_at,ZNF521
210143_at,ANXA10
229839_at,SCARA5
209301_at,CA2
228128_x_at,PAPPA
217028_at,CXCR4
204114_at,NID2
235599_at,LOC339535
210198_s_at,PLP1
205694_at,TYRP1
236918_s_at,LRRC34
208235_x_at,GAGE12F_///_GAGE12G_///_GAGE12I_///_GAGE4_///_GAGE5_///_GAGE6_///_GAGE7
210103_s_at,FOXA2
206482_at,PTK6
206391_at,RARRES1
221644_s_at,SLC45A2
235683_at,SESN3
203131_at,PDGFRA
224650_at,MAL2
1552365_at,SCIN
203913_s_at,HPGD
201843_s_at,EFEMP1
228863_at,PCDH17
207522_s_at,ATP2A3
211518_s_at,BMP4
1552367_a_at,SCIN
1555233_at,RHOJ
229218_at,COL1A2
233092_s_at,LOC100271840
220994_s_at,STXBP6
1555890_at,OR2A20P_///_OR2A9P
229802_at,WISP1
213355_at,ST3GAL6
216513_at,DCT
200953_s_at,CCND2
206470_at,PLXNC1
207663_x_at,GAGE3
201131_s_at,CDH1
239218_at,PDE1C
1559827_at,LINC00960
227725_at,ST6GALNAC1
242093_at,SYTL5
204508_s_at,CA12
212489_at,COL5A1
236313_at,CDKN2B
227061_at,---
207325_x_at,MAGEA1
223278_at,GJB2
230760_at,ZFY
230147_at,F2RL2
202888_s_at,ANPEP
225275_at,EDIL3
232151_at,MACC1
228080_at,LAYN
201427_s_at,SEPP1
232843_s_at,DOCK8
204749_at,NAP1L3
205524_s_at,HAPLN1
226834_at,---
209496_at,RARRES2
224589_at,XIST
